subject,stage_pre,model,channel,channel_index,baseline_accuracy_percent_pre,shuffled_accuracy_percent_mean_pre,shuffled_accuracy_percent_sd_pre,contribution_pp_pre,contribution_pp_positive_pre,contribution_norm_pre,stage_post,baseline_accuracy_percent_post,shuffled_accuracy_percent_mean_post,shuffled_accuracy_percent_sd_post,contribution_pp_post,contribution_pp_positive_post,contribution_norm_post,contribution_change_pp,contribution_change_norm,change_direction
P1,PRE,Fixed CSP+LDA,CP3,11,82.5,50.16666666666667,0.8374896350934075,32.33333333333333,32.33333333333333,0.9568434032059185,POST,90.0,52.87499999999999,1.4123709380565252,37.12500000000001,37.12500000000001,0.9428571428571431,4.7916666666666785,-0.013986260348775481,increased
P1,PRE,Fixed CSP+LDA,CP1,12,82.5,89.4583333333333,1.103183524572812,-6.9583333333333,0.0,0.0,POST,90.0,50.79166666666667,0.8829008375173786,39.20833333333333,39.20833333333333,0.9957671957671956,46.16666666666663,0.9957671957671956,increased
P1,PRE,Fixed CSP+LDA,CPz,13,82.5,60.583333333333336,1.538848776051616,21.916666666666664,21.916666666666664,0.6485819975339088,POST,90.0,64.91666666666667,2.257702864024011,25.08333333333333,25.08333333333333,0.637037037037037,3.1666666666666643,-0.011544960496871814,increased
P1,PRE,Fixed CSP+LDA,CP2,14,82.5,88.04166666666667,2.007364911740984,-5.541666666666671,0.0,0.0,POST,90.0,83.33333333333334,1.4907119849998611,6.666666666666657,6.666666666666657,0.16931216931216908,12.208333333333329,0.16931216931216908,increased
P1,PRE,Fixed CSP+LDA,CP4,15,82.5,50.541666666666664,0.834374349770866,31.958333333333336,31.958333333333336,0.9457459926017264,POST,90.0,89.79166666666664,0.4658474953124586,0.20833333333335702,0.20833333333335702,0.005291005291005893,-31.74999999999998,-0.9404549873107205,decreased
P1,PRE,Fixed CSP+LDA,Pz,16,82.5,86.62500000000001,1.6817030058842128,-4.125000000000014,0.0,0.0,POST,90.0,54.083333333333336,1.0671873729054755,35.916666666666664,35.916666666666664,0.9121693121693121,40.04166666666668,0.9121693121693121,increased
P2,PRE,Fixed CSP+LDA,FC3,1,70.0,60.875000000000014,2.1686689466121845,9.124999999999986,9.124999999999986,0.45624999999999927,POST,93.75,93.66666666666664,1.2047360245667453,0.08333333333335702,0.08333333333335702,0.0019249278152074767,-9.041666666666629,-0.4543250721847918,decreased
P2,PRE,Fixed CSP+LDA,FCz,2,70.0,50.24999999999999,0.8779711460710606,19.750000000000007,19.750000000000007,0.9875000000000004,POST,93.75,50.58333333333332,0.7728015412913077,43.16666666666668,43.16666666666668,0.9971126082771897,23.41666666666667,0.00961260827718935,increased
P2,PRE,Fixed CSP+LDA,FC4,3,70.0,50.24999999999999,0.8164965809277259,19.750000000000007,19.750000000000007,0.9875000000000004,POST,93.75,50.45833333333333,0.6023680122833713,43.29166666666667,43.29166666666667,1.0,23.541666666666664,0.012499999999999623,increased
P2,PRE,Fixed CSP+LDA,C5,4,70.0,50.083333333333336,0.78616509433805,19.916666666666664,19.916666666666664,0.9958333333333332,POST,93.75,68.08333333333334,1.1055415967851319,25.666666666666657,25.666666666666657,0.5928777670837341,5.749999999999993,-0.40295556624959916,increased
P2,PRE,Fixed CSP+LDA,C3,5,70.0,73.70833333333333,1.0937003957005573,-3.7083333333333286,0.0,0.0,POST,93.75,77.50000000000001,2.393567769390845,16.249999999999986,16.249999999999986,0.3753609239653509,19.958333333333314,0.3753609239653509,increased
P2,PRE,Fixed CSP+LDA,C1,6,70.0,54.208333333333336,1.5969806580614003,15.791666666666664,15.791666666666664,0.7895833333333332,POST,93.75,50.624999999999986,0.7034142923389206,43.125000000000014,43.125000000000014,0.9961501443695864,27.33333333333335,0.20656681103625318,increased
P2,PRE,Fixed CSP+LDA,Cz,7,70.0,50.29166666666666,0.6984606089266737,19.708333333333343,19.708333333333343,0.9854166666666672,POST,93.75,50.45833333333333,0.821795121804833,43.29166666666667,43.29166666666667,1.0,23.58333333333333,0.014583333333332837,increased
P2,PRE,Fixed CSP+LDA,C2,8,70.0,50.0,0.7216878364870313,20.0,20.0,1.0,POST,93.75,50.541666666666664,0.8343743497708653,43.208333333333336,43.208333333333336,0.998075072184793,23.208333333333336,-0.0019249278152070337,increased
P2,PRE,Fixed CSP+LDA,C4,9,70.0,50.29166666666667,0.8343743497708653,19.70833333333333,19.70833333333333,0.9854166666666664,POST,93.75,57.29166666666667,1.9654127358451254,36.45833333333333,36.45833333333333,0.8421559191530316,16.75,-0.14326074751363482,increased
P2,PRE,Fixed CSP+LDA,C6,10,70.0,66.875,3.0405248998596726,3.125,3.125,0.15625,POST,93.75,50.624999999999986,0.7739239842086119,43.125000000000014,43.125000000000014,0.9961501443695864,40.000000000000014,0.8399001443695864,increased
P2,PRE,Fixed CSP+LDA,CP3,11,70.0,67.87499999999999,3.2779249025361556,2.125000000000014,2.125000000000014,0.1062500000000007,POST,93.75,67.83333333333333,2.211083193570267,25.91666666666667,25.91666666666667,0.5986525505293552,23.791666666666657,0.49240255052935444,increased
P2,PRE,Fixed CSP+LDA,CP1,12,70.0,73.625,1.8071040368501208,-3.625,0.0,0.0,POST,93.75,90.12499999999999,0.9326262202333081,3.625000000000014,3.625000000000014,0.08373435996150176,7.250000000000014,0.08373435996150176,increased
P2,PRE,Fixed CSP+LDA,CPz,13,70.0,65.16666666666667,2.158638974498104,4.833333333333329,4.833333333333329,0.24166666666666642,POST,93.75,50.79166666666666,1.1403276819503336,42.95833333333334,42.95833333333334,0.9923002887391724,38.125000000000014,0.7506336220725061,increased
P2,PRE,Fixed CSP+LDA,CP2,14,70.0,50.208333333333336,0.5667279378639752,19.791666666666664,19.791666666666664,0.9895833333333333,POST,93.75,50.541666666666664,0.834374349770866,43.208333333333336,43.208333333333336,0.998075072184793,23.41666666666667,0.008491738851459707,increased
P2,PRE,Fixed CSP+LDA,CP4,15,70.0,55.333333333333336,2.956865833201695,14.666666666666664,14.666666666666664,0.7333333333333332,POST,93.75,76.4583333333333,2.1184539698143596,17.2916666666667,17.2916666666667,0.3994225216554386,2.6250000000000355,-0.33391081167789455,increased
P2,PRE,Fixed CSP+LDA,Pz,16,70.0,50.708333333333336,1.0043308994328286,19.291666666666664,19.291666666666664,0.9645833333333332,POST,93.75,90.29166666666666,1.2367351733046537,3.458333333333343,3.458333333333343,0.07988450433108779,-15.833333333333321,-0.8846988290022455,decreased
P3,PRE,Fixed CSP+LDA,FC3,1,87.5,93.79166666666666,1.1851218877773233,-6.291666666666657,0.0,0.0,POST,95.0,91.08333333333334,0.8374896350934086,3.916666666666657,3.916666666666657,0.0873605947955388,10.208333333333314,0.0873605947955388,increased
P3,PRE,Fixed CSP+LDA,FCz,2,87.5,75.62499999999999,2.845866886088198,11.875000000000014,11.875000000000014,0.3184357541899445,POST,95.0,50.79166666666667,0.8829008375173786,44.20833333333333,44.20833333333333,0.986059479553903,32.333333333333314,0.6676237253639585,increased
P3,PRE,Fixed CSP+LDA,FC4,3,87.5,94.20833333333333,1.5969806580613997,-6.708333333333329,0.0,0.0,POST,95.0,59.166666666666664,2.400810048481322,35.833333333333336,35.833333333333336,0.7992565055762081,42.541666666666664,0.7992565055762081,increased
P3,PRE,Fixed CSP+LDA,C5,4,87.5,82.91666666666664,1.6244657241348277,4.583333333333357,4.583333333333357,0.12290502793296154,POST,95.0,50.5,0.7637626158259725,44.5,44.5,0.9925650557620815,39.91666666666664,0.86966002782912,increased
P3,PRE,Fixed CSP+LDA,C3,5,87.5,60.20833333333333,1.4819516036482294,27.29166666666667,27.29166666666667,0.7318435754189946,POST,95.0,71.83333333333333,1.956115765717584,23.16666666666667,23.16666666666667,0.516728624535316,-4.125,-0.2151149508836786,decreased
P3,PRE,Fixed CSP+LDA,C1,6,87.5,81.62500000000003,2.6447668454263917,5.874999999999972,5.874999999999972,0.15754189944134003,POST,95.0,94.99999999999997,0.7216878364870328,2.842170943040401e-14,2.842170943040401e-14,6.339414742841041e-16,-5.874999999999943,-0.1575418994413394,decreased
P3,PRE,Fixed CSP+LDA,Cz,7,87.5,50.208333333333336,0.727677049857206,37.291666666666664,37.291666666666664,1.0,POST,95.0,50.16666666666666,0.7021791477646951,44.83333333333334,44.83333333333334,1.0,7.5416666666666785,0.0,increased
P3,PRE,Fixed CSP+LDA,C2,8,87.5,52.66666666666667,1.2801909579781028,34.83333333333333,34.83333333333333,0.9340782122905027,POST,95.0,53.166666666666664,1.0573814617041268,41.833333333333336,41.833333333333336,0.933085501858736,7.000000000000007,-0.0009927104317667412,increased
P3,PRE,Fixed CSP+LDA,C4,9,87.5,50.541666666666664,0.7694243880258071,36.958333333333336,36.958333333333336,0.9910614525139666,POST,95.0,50.375,0.9213893494789984,44.625,44.625,0.9953531598513009,7.666666666666664,0.004291707337334305,increased
P3,PRE,Fixed CSP+LDA,C6,10,87.5,93.29166666666667,1.2282835810819708,-5.791666666666671,0.0,0.0,POST,95.0,50.541666666666664,1.0043308994328286,44.458333333333336,44.458333333333336,0.9916356877323419,50.25000000000001,0.9916356877323419,increased
P3,PRE,Fixed CSP+LDA,CP3,11,87.5,50.58333333333332,0.7021791477646951,36.91666666666668,36.91666666666668,0.9899441340782127,POST,95.0,50.66666666666666,0.9537935951882992,44.33333333333334,44.33333333333334,0.9888475836431226,7.416666666666664,-0.001096550435090049,increased
P3,PRE,Fixed CSP+LDA,CP1,12,87.5,55.166666666666664,1.359125535858341,32.333333333333336,32.333333333333336,0.8670391061452515,POST,95.0,90.95833333333333,0.6984606089266748,4.041666666666671,4.041666666666671,0.09014869888475845,-28.291666666666664,-0.7768904072604931,decreased
P3,PRE,Fixed CSP+LDA,CPz,13,87.5,60.66666666666668,1.4695993407123669,26.83333333333332,26.83333333333332,0.719553072625698,POST,95.0,94.12499999999999,1.2140668570277866,0.8750000000000142,0.8750000000000142,0.01951672862453563,-25.958333333333307,-0.7000363440011623,decreased
P3,PRE,Fixed CSP+LDA,CP2,14,87.5,59.374999999999986,1.605654072333142,28.125000000000014,28.125000000000014,0.7541899441340787,POST,95.0,75.75,1.81429508808977,19.25,19.25,0.42936802973977684,-8.875000000000014,-0.32482191439430186,decreased
P3,PRE,Fixed CSP+LDA,CP4,15,87.5,85.33333333333334,1.01721296797781,2.166666666666657,2.166666666666657,0.05810055865921763,POST,95.0,53.37499999999999,1.44877822089281,41.62500000000001,41.62500000000001,0.9284386617100371,39.45833333333335,0.8703381030508195,increased
P3,PRE,Fixed CSP+LDA,Pz,16,87.5,57.62499999999999,1.8356992309925575,29.875000000000007,29.875000000000007,0.8011173184357544,POST,95.0,50.541666666666664,0.8946212730659948,44.458333333333336,44.458333333333336,0.9916356877323419,14.583333333333329,0.1905183692965875,increased
