subject,stage,model,channel,channel_index,baseline_accuracy_percent,shuffled_accuracy_percent_mean,shuffled_accuracy_percent_sd,contribution_pp,contribution_pp_positive,contribution_norm
P3,PRE,Fixed CSP+LDA,C6,10,87.5,93.29166666666667,1.2282835810819708,-5.791666666666671,0.0,0.0
P3,PRE,Fixed CSP+LDA,CP3,11,87.5,50.58333333333332,0.7021791477646951,36.91666666666668,36.91666666666668,0.9899441340782127
P3,PRE,Fixed CSP+LDA,CP1,12,87.5,55.166666666666664,1.359125535858341,32.333333333333336,32.333333333333336,0.8670391061452515
P3,PRE,Fixed CSP+LDA,CPz,13,87.5,60.66666666666668,1.4695993407123669,26.83333333333332,26.83333333333332,0.719553072625698
P3,PRE,Fixed CSP+LDA,CP2,14,87.5,59.374999999999986,1.605654072333142,28.125000000000014,28.125000000000014,0.7541899441340787
P3,PRE,Fixed CSP+LDA,CP4,15,87.5,85.33333333333334,1.01721296797781,2.166666666666657,2.166666666666657,0.05810055865921763
P3,PRE,Fixed CSP+LDA,Pz,16,87.5,57.62499999999999,1.8356992309925575,29.875000000000007,29.875000000000007,0.8011173184357544
P3,POST,Fixed CSP+LDA,FC3,1,95.0,91.08333333333334,0.8374896350934086,3.916666666666657,3.916666666666657,0.0873605947955388
P3,POST,Fixed CSP+LDA,FCz,2,95.0,50.79166666666667,0.8829008375173786,44.20833333333333,44.20833333333333,0.986059479553903
P3,POST,Fixed CSP+LDA,FC4,3,95.0,59.166666666666664,2.400810048481322,35.833333333333336,35.833333333333336,0.7992565055762081
P3,POST,Fixed CSP+LDA,C5,4,95.0,50.5,0.7637626158259725,44.5,44.5,0.9925650557620815
P3,POST,Fixed CSP+LDA,C3,5,95.0,71.83333333333333,1.956115765717584,23.16666666666667,23.16666666666667,0.516728624535316
P3,POST,Fixed CSP+LDA,C1,6,95.0,94.99999999999997,0.7216878364870328,2.842170943040401e-14,2.842170943040401e-14,6.339414742841041e-16
P3,POST,Fixed CSP+LDA,Cz,7,95.0,50.16666666666666,0.7021791477646951,44.83333333333334,44.83333333333334,1.0
P3,POST,Fixed CSP+LDA,C2,8,95.0,53.166666666666664,1.0573814617041268,41.833333333333336,41.833333333333336,0.933085501858736
P3,POST,Fixed CSP+LDA,C4,9,95.0,50.375,0.9213893494789984,44.625,44.625,0.9953531598513009
P3,POST,Fixed CSP+LDA,C6,10,95.0,50.541666666666664,1.0043308994328286,44.458333333333336,44.458333333333336,0.9916356877323419
P3,POST,Fixed CSP+LDA,CP3,11,95.0,50.66666666666666,0.9537935951882992,44.33333333333334,44.33333333333334,0.9888475836431226
P3,POST,Fixed CSP+LDA,CP1,12,95.0,90.95833333333333,0.6984606089266748,4.041666666666671,4.041666666666671,0.09014869888475845
P3,POST,Fixed CSP+LDA,CPz,13,95.0,94.12499999999999,1.2140668570277866,0.8750000000000142,0.8750000000000142,0.01951672862453563
P3,POST,Fixed CSP+LDA,CP2,14,95.0,75.75,1.81429508808977,19.25,19.25,0.42936802973977684
P3,POST,Fixed CSP+LDA,CP4,15,95.0,53.37499999999999,1.44877822089281,41.62500000000001,41.62500000000001,0.9284386617100371
P3,POST,Fixed CSP+LDA,Pz,16,95.0,50.541666666666664,0.8946212730659948,44.458333333333336,44.458333333333336,0.9916356877323419
